,k,p,q,run_id,param,param_out,param_pos,input,output,diff
799,2,0,1,0,theta,theta_out,0,-0.2052484561997177,-0.19756603877684994,-0.0076824174228677655
798,2,0,1,1,theta,theta_out,0,0.9061075395085392,0.9025649515359717,0.003542587972567457
797,2,0,1,2,theta,theta_out,0,0.7492308495887207,0.7431708951585868,0.0060599544301338515
796,2,0,1,3,theta,theta_out,0,0.08874943651880948,0.08267607167397245,0.006073364844837031
794,2,0,2,0,theta,theta_out,0,-1.1416930573421515,-1.128461643422516,-0.013231413919635449
795,2,0,2,0,theta,theta_out,1,0.23689320511592832,0.22203988751452905,0.014853317601399268
792,2,0,2,1,theta,theta_out,0,0.6633035150018279,0.6432165966721993,0.02008691832962861
793,2,0,2,1,theta,theta_out,1,-0.32766937027049825,-0.3485026127264675,0.020833242455969236
790,2,0,2,2,theta,theta_out,0,-0.46808382323820497,-0.47033881778477393,0.002254994546568967
791,2,0,2,2,theta,theta_out,1,-0.10057633940339844,-0.10271840817185213,0.0021420687684536865
788,2,0,2,3,theta,theta_out,0,0.6232965346344568,0.6287202618468691,-0.005423727212412355
789,2,0,2,3,theta,theta_out,1,0.2762704653974029,0.2733079836614048,0.0029624817359981126
785,2,0,3,0,theta,theta_out,0,-0.8235453686598683,-0.8055127728379322,-0.01803259582193606
786,2,0,3,0,theta,theta_out,1,-0.49345882784166123,-0.5134823253892726,0.020023497547611402
787,2,0,3,0,theta,theta_out,2,0.3992734511147664,0.4009103687970619,-0.0016369176822954579
782,2,0,3,1,theta,theta_out,0,0.3703906551044371,0.3900300647078478,-0.019639409603410707
783,2,0,3,1,theta,theta_out,1,0.6545109496539955,0.6673264408953575,-0.012815491241362054
784,2,0,3,1,theta,theta_out,2,0.2502966101044717,0.2678103073968081,-0.017513697292336428
779,2,0,3,2,theta,theta_out,0,0.3608160765939722,0.3561311905866187,0.004684886007353506
780,2,0,3,2,theta,theta_out,1,0.030147687542805834,0.02639365089241521,0.0037540366503906256
781,2,0,3,2,theta,theta_out,2,0.5641514391774903,0.5729407067489676,-0.008789267571477244
776,2,0,3,3,theta,theta_out,0,0.5021239182510527,0.49626486461083297,0.005859053640219769
777,2,0,3,3,theta,theta_out,1,-0.13982983503018065,-0.12756108548879544,-0.01226874954138521
778,2,0,3,3,theta,theta_out,2,-0.38929820260840997,-0.38669912722493227,-0.0025990753834777003
772,2,0,4,0,theta,theta_out,0,-0.5362536189094652,-0.5331408914760928,-0.003112727433372431
773,2,0,4,0,theta,theta_out,1,-0.0859932538414322,-0.07984035224690342,-0.006152901594528776
774,2,0,4,0,theta,theta_out,2,0.029883605325663587,0.03525770893740499,-0.005374103611741406
775,2,0,4,0,theta,theta_out,3,0.4862329383463616,0.49797770205739844,-0.011744763711036832
768,2,0,4,1,theta,theta_out,0,0.1661606839097809,0.16419817248552132,0.001962511424259572
